,Open,High,Low,Close,Volume
2025-06-17 17:28:00,595.6448,595.6548,595.0666,595.5252,1161
2025-06-17 17:29:00,595.59,595.6548,595.5352,595.6448,569
2025-06-17 17:30:00,595.6349,595.6548,595.5252,595.5253,2611
2025-06-17 17:31:00,595.6249,595.7246,595.5152,595.7146,6192
2025-06-17 17:32:00,595.5451,595.6199,595.5152,595.605,1571
2025-06-17 17:33:00,595.605,595.7246,595.5152,595.6448,227
2025-06-17 17:34:00,595.605,595.6713,595.3358,595.5451,7957
2025-06-17 17:35:00,595.4332,595.5352,595.3358,595.5352,11324
2025-06-17 17:36:00,595.4604,595.5352,595.3856,595.3856,1641
2025-06-17 17:37:00,595.3956,595.4355,595.2959,595.4155,4569
2025-06-17 17:38:00,595.3058,595.5352,595.3058,595.4205,529
2025-06-17 17:39:00,595.4205,595.5352,595.3058,595.3058,200
2025-06-17 17:40:00,595.3756,595.4205,595.3058,595.3906,654
2025-06-17 17:41:00,595.3756,595.4753,595.3058,595.3557,730
2025-06-17 17:42:00,595.4205,595.4753,595.3158,595.4753,575
2025-06-17 17:43:00,595.4205,595.7246,595.3557,595.7146,13674
2025-06-17 17:44:00,595.7146,595.7246,595.4355,595.4853,4747
2025-06-17 17:45:00,595.6149,595.7047,595.4953,595.6847,260
2025-06-17 17:46:00,595.6847,595.6847,595.5601,595.5601,329
2025-06-17 17:47:00,595.605,595.605,595.4853,595.5352,1002
2025-06-17 17:48:00,595.5252,595.5352,595.4953,595.5352,76
2025-06-17 17:49:00,595.4853,595.5551,595.4853,595.5551,2449
2025-06-17 17:50:00,595.5352,595.585,595.4853,595.5601,2058
2025-06-17 17:51:00,595.5451,595.585,595.5352,595.585,358
2025-06-17 17:52:00,595.5451,595.7346,595.5366,595.6598,1726
2025-06-17 17:53:00,595.6349,595.7146,595.5353,595.6349,1109
2025-06-17 17:54:00,595.7146,595.7146,595.5352,595.7047,32
2025-06-17 17:55:00,595.5451,595.6648,595.5451,595.5551,46
2025-06-17 17:56:00,595.5551,595.6548,595.5451,595.5701,595
2025-06-17 17:57:00,595.5551,595.5551,595.3457,595.4654,1953
2025-06-17 17:58:00,595.4953,595.5252,595.4355,595.4474,813
2025-06-17 17:59:00,595.4358,595.5252,595.3557,595.5252,2387
2025-06-17 18:00:00,595.3756,595.5152,595.0167,595.4243,21876
2025-06-17 18:01:00,595.4355,595.5252,595.0765,595.1363,3846
2025-06-17 18:02:00,595.1014,595.1862,594.8871,594.8958,6668
2025-06-17 18:03:00,594.8871,594.8871,594.568,594.5964,5938
2025-06-17 18:04:00,594.5581,594.8671,594.5481,594.8671,1937
2025-06-17 18:05:00,594.867,594.9369,594.7974,594.8582,4398
2025-06-17 18:06:00,594.8376,594.9768,594.8376,594.9369,914
2025-06-17 18:07:00,594.927,594.9868,594.8771,594.9668,809
2025-06-17 18:08:00,594.9668,595.2959,594.907,595.2709,4669
2025-06-17 18:09:00,595.246,595.3357,595.236,595.246,2165
2025-06-17 18:10:00,595.2858,595.2858,595.0167,595.0553,10397
2025-06-17 18:11:00,595.1064,595.1064,594.9968,595.0466,229
2025-06-17 18:12:00,595.0567,595.1164,595.0067,595.0715,893
2025-06-17 18:13:00,595.1064,595.1164,594.9968,595.0167,972
2025-06-17 18:14:00,595.0267,595.1463,595.0267,595.1164,1320
2025-06-17 18:15:00,595.0616,595.0666,595.0067,595.0267,15
2025-06-17 18:16:00,595.0067,595.0167,594.8073,594.8273,1686
2025-06-17 18:17:00,594.8472,594.9252,594.7575,594.8871,4128
2025-06-17 18:18:00,594.8971,594.9668,594.8585,594.8971,293
2025-06-17 18:19:00,594.8971,594.8971,594.7874,594.8871,699
2025-06-17 18:20:00,594.8472,594.9167,594.8273,594.9167,472
2025-06-17 18:21:00,594.9169,594.927,594.8671,594.916,425
2025-06-17 18:22:00,594.8971,594.917,594.8173,594.902,643
2025-06-17 18:23:00,594.8821,594.917,594.7475,594.7674,5485
2025-06-17 18:24:00,594.7375,594.7774,594.6777,594.7267,1397
2025-06-17 18:25:00,594.7276,594.8462,594.7276,594.7775,325
2025-06-17 18:26:00,594.8073,594.8372,594.7176,594.7824,2028
2025-06-17 18:27:00,594.8073,594.8472,594.7724,594.8273,464
2025-06-17 18:28:00,594.7874,594.7874,594.5979,594.6373,23534
2025-06-17 18:29:00,594.6377,594.6578,594.5481,594.6328,2021
2025-06-17 18:30:00,595.7645,595.7645,594.4085,594.4683,1473194
2025-06-17 18:31:00,594.4964,594.5082,594.2589,594.5082,14958
2025-06-17 18:32:00,594.6279,594.7575,594.5581,594.563,7571
2025-06-17 18:33:00,594.563,594.6279,594.5182,594.6179,1106
2025-06-17 18:34:00,594.618,594.7674,594.618,594.7076,2190
2025-06-17 18:35:00,594.7126,594.7674,594.6378,594.6877,288
2025-06-17 18:36:00,594.6727,594.6727,594.5979,594.6179,997
2025-06-17 18:37:00,594.608,594.6279,594.4883,594.5192,991
2025-06-17 18:38:00,594.5182,594.578,594.4683,594.5182,483
2025-06-17 18:39:00,594.4933,594.5381,594.4384,594.4584,935
2025-06-17 18:40:00,594.4384,594.4883,594.3686,594.3686,2034
2025-06-17 18:41:00,594.3686,594.3686,594.2589,594.2589,4938
2025-06-17 18:42:00,594.2589,594.3188,594.1293,594.2394,5464
2025-06-17 18:43:00,594.3088,594.3487,594.2178,594.2589,3320
2025-06-17 18:44:00,594.4135,594.4783,594.1684,594.3985,17401
2025-06-17 18:45:00,594.3188,594.4085,594.239,594.3188,933
2025-06-17 18:46:00,594.3387,594.3886,594.3188,594.3771,499
2025-06-17 18:47:00,594.3387,594.3387,594.229,594.239,5771
2025-06-17 18:48:00,594.239,594.239,594.0197,594.1909,16122
2025-06-17 18:49:00,594.2141,594.3387,594.2001,594.3287,2753
2025-06-17 18:50:00,594.3287,594.3886,594.2689,594.2689,34532
2025-06-17 18:51:00,594.2689,594.2988,594.2141,594.2639,2252
2025-06-17 18:52:00,594.2639,594.2988,594.2091,594.2889,204
2025-06-17 18:53:00,594.2739,594.3337,594.249,594.2988,11801
2025-06-17 18:54:00,594.2839,594.3786,594.2839,594.3088,1864
2025-06-17 18:55:00,594.3088,594.3586,594.2789,594.3088,122
2025-06-17 18:56:00,594.2689,594.3188,594.249,594.2789,456
2025-06-17 18:57:00,594.2839,594.3088,594.0795,594.0994,1444
2025-06-17 18:58:00,594.0396,594.1194,593.8502,593.9185,2054
2025-06-17 18:59:00,593.9498,594.0097,593.8701,593.9399,1201
2025-06-17 19:00:00,593.9996,594.1393,593.9698,594.0994,3866
2025-06-17 19:01:00,594.0994,594.1177,593.8402,593.9199,1703
2025-06-17 19:02:00,593.8701,593.9199,593.8199,593.8199,20143
2025-06-17 19:03:00,593.8103,594.0894,593.8103,594.0296,18060
2025-06-17 19:04:00,594.0197,594.0546,593.9299,594.0546,7934
2025-06-17 19:05:00,594.0695,594.5581,594.0695,594.4384,3115
2025-06-17 19:06:00,594.4733,594.5075,594.249,594.2889,875
2025-06-17 19:07:00,594.2889,594.3188,594.229,594.2888,603
2025-06-17 19:08:00,594.224,594.2589,594.1144,594.1493,1649
2025-06-17 19:09:00,594.1892,594.3387,594.1144,594.3287,792
2025-06-17 19:10:00,594.2789,594.2789,594.0446,594.0446,547
2025-06-17 19:11:00,594.0283,594.0496,593.9299,593.9548,5621
2025-06-17 19:12:00,593.9698,594.0346,593.9309,593.9798,837
2025-06-17 19:13:00,593.9199,594.0396,593.9199,593.9608,1037
2025-06-17 19:14:00,593.9798,594.0296,593.9417,593.9897,530
2025-06-17 19:15:00,594.0047,594.1293,593.9798,594.1094,1342
2025-06-17 19:16:00,594.03,594.0795,593.9848,594.0595,1357
2025-06-17 19:17:00,594.0795,594.3387,594.0795,594.3387,399
2025-06-17 19:18:00,594.3586,594.4583,594.2988,594.4583,226
2025-06-17 19:19:00,594.4135,594.4584,594.3188,594.3537,358
2025-06-17 19:20:00,594.4364,594.4384,594.3287,594.3686,1146
2025-06-17 19:21:00,594.3686,594.4185,594.2487,594.2487,1130
2025-06-17 19:22:00,594.2889,594.2889,594.1991,594.238,616
2025-06-17 19:23:00,594.249,594.2789,594.2092,594.239,477
2025-06-17 19:24:00,594.239,594.2874,594.2091,594.224,651
